brand,model,year,mileage,fuel,power_ps,price
Ford,Kuga Plug-In,2022,46743,Benzin,224,224901
Mercedes-Benz,GLC 220,2017,72395,Diesel,170,26970
Mercedes-Benz,A 200,2021,36803,Benzin,163,24690
Volkswagen,T6 Caravelle,2017,236399,Diesel,150,199801
CUPRA,Leon ST,2025,9989,Benzin,150,278991
BMW,X4 360°,2022,25593,Benzin,184,394991
Nissan,Qashqai N-Connecta,,5,Benzin,158,277701
BMW,740 d,2022,18580,Diesel,340,58590
Audi,RS6 4.0,2022,69284,Benzin,600,829901
Toyota,Corolla Cross,2026,10,Benzin,178,35470
Kia,Optima GT,2017,92722,Benzin,245,179791
Opel,Meriva Drive,2016,63135,Benzin,120,8980
Mercedes-Benz,A 250,2013,100500,Benzin,211,16490
Nissan,Micra Evolve,,15,Elektro,150,299851
Jeep,Compass 2.2,2011,156513,Diesel,163,4199
Mercedes-Benz,A 250,2013,100500,Benzin,211,16490
Nissan,Micra Evolve,,15,Elektro,150,299851
Volkswagen,Caddy 2.0,2022,106950,Diesel,75,138901
BMW,X2 xD25e,2022,51899,Benzin,220,234991
Audi,A3 30TFSI,2023,25230,Benzin,110,233701
Skoda,Superb 2.0TDI,2023,88858,Diesel,200,23999
Hyundai,TUCSON 1.6,2025,5,Benzin,239,309991
Mercedes-Benz,C 43,2016,70450,Benzin,367,32900
Mitsubishi,L200 Inform,2011,250000,Diesel,128,7490
Ford,Bronco BADLANDS,2022,74393,Benzin,330,42500
BMW,X5 xDrive30d,2022,62715,Diesel,286,494901
Mercedes-Benz,B 180,2016,71000,Diesel,109,14980
Dacia,Jogger Eco-G,2025,1510,Benzin,101,199901
Volkswagen,Passat Variant,2020,72450,Diesel,150,197491
Dacia,Sandero STEPWAY,2024,29947,Benzin,101,149001
BMW,X1 23i,2024,8900,Benzin,218,39900
Toyota,Yaris Cross,2023,10990,Benzin,116,239891
Ford,Kuga 1.5,2017,125206,Benzin,150,10880
Skoda,Octavia Combi,2017,22500,Benzin,150,17489
Audi,A4 Avant,2010,200000,Benzin,160,5999
Audi,A7 Sportback,2015,226000,Diesel,320,21800
Audi,Q3 45*Navi*Alu*PDC*Virtual,2022,32199,Benzin,245,264801
Volkswagen,Golf Life*2.0TDI*Virtual*PDC*NAVI*LED*ACC,2022,142855,Diesel,116,159501
MINI,Cooper LED,2023,27696,Benzin,136,217901
Volkswagen,T-Roc 2.0,2024,7108,Benzin,190,33108
Hyundai,TUCSON 1.6,2019,26348,Benzin,132,18990
Audi,A5 SpB,2019,92750,Benzin,190,23749
Skoda,Octavia Lim.,2020,40040,Benzin,150,21785
Opel,Corsa GS,2025,21679,Benzin,145,184701
Skoda,Fabia Sondermodell,2026,100,Benzin,95,186901
Nissan,Juke JUKE,2025,50,Benzin,143,239901
SEAT,Arona 1.0,2023,10846,Benzin,95,163901
BMW,525 d,2018,174000,Diesel,231,17990
Audi,A4 Avant,2022,46700,Benzin,150,229501
BMW,520 d,2021,69987,Diesel,190,369801
Mercedes-Benz,GLE 400,2020,50768,Diesel,330,68990
Kia,Sportage 1.6,2022,59000,Benzin,150,22990
Porsche,Cayman GTS,2018,26700,Benzin,366,74990
Audi,A4 Avant,2015,141100,Diesel,150,12977
BMW,318 i,2003,213000,Benzin,143,1999
Volvo,XC60 Momentum,2022,70429,Diesel,197,298901
Volvo,XC90 D5,2012,285366,Diesel,200,10790
Volvo,S60 Lim.,2021,69979,Benzin,197,248501
Hyundai,IONIQ 1.6,2021,61088,Benzin,141,16550
Opel,Grandland X,2021,63135,Benzin,181,19380
Volkswagen,Arteon Elegance,2022,52632,Diesel,200,349701
Fiat,500 S,2015,96850,Benzin,69,7499
Land,Rover Range,2015,101300,Diesel,190,17895
Skoda,Elroq 85,2025,4426,Elektro,286,399911
Mercedes-Benz,C 63,2016,77200,Benzin,476,45900
Skoda,"Karoq 1,0TSI",2025,21100,Benzin,115,249101
Ford,Puma 1.5,2022,115000,Diesel,120,136501
Mercedes-Benz,Vario 613,2007,179000,Diesel,129,149901
Audi,A3 Cabriolet,2016,98950,Benzin,150,16990
Nissan,X-Trail TEKNA+,,5,Benzin,213,412701
Volkswagen,Tiguan Export,2015,174000,Diesel,150,12990
Mercedes-Benz,GLA 200,2023,4211,Diesel,150,399001
Volkswagen,Golf VII,2019,68760,,131,128831
Toyota,Yaris Cross,2021,38200,Benzin,116,21994
CUPRA,Formentor 1.5,2023,9661,Benzin,150,209501
Ford,Transit Custom,2021,92450,Diesel,105,194491
Opel,Mokka-E e,2023,15800,Elektro,136,169001
Mercedes-Benz,G 63,2023,23320,Benzin,585,164670
Audi,A6 e-hybrid,2026,9,Benzin,367,745401
Toyota,Yaris Hybrid,2020,127932,Benzin,101,12440
Audi,RS3 MATRIX,2025,7174,Benzin,400,599901
Mercedes-Benz,CLA 180,2024,5327,Benzin,136,273701
BMW,230 i,2018,76464,Benzin,252,22490
Alfa,Romeo Tonale,2024,34541,Benzin,160,244001
Volkswagen,Tiguan Allspace,1901,59759,Diesel,200,351901
Ford,Tourneo Connect,,,Diesel,122,351801
Audi,Q5 40,2022,119000,Diesel,204,279891
Hyundai,BAYON 1.0,2022,65629,Benzin,101,16280
Mercedes-Benz,E 220,2025,5390,Diesel,197,568001
Audi,A3 Sportback,2023,27870,Benzin,150,249901
Toyota,Land Cruiser,,10,Diesel,205,834801
Audi,S3 Limousine,2020,79000,Benzin,300,38900
Audi,A5 S,2020,54000,Diesel,190,308881
Toyota,RAV 4,2021,125124,Benzin,178,264851
Opel,Zafira 1.8i,2010,105592,Benzin,140,3799
Opel,Insignia 2.0T,2018,93000,Benzin,260,17890
Alfa,Romeo Giulietta,2017,88421,Diesel,175,12480
Volkswagen,Tayron 1.5,2025,21800,Benzin,204,418491
Skoda,Kodiaq Sportline,2022,84300,Diesel,200,329501
Volkswagen,Golf Limo,2024,32900,Diesel,116,219001
Ford,Mustang Mach-E,2021,65524,Elektro,269,249801
Skoda,Kodiaq 2.0,2020,110750,Diesel,150,287491
Volkswagen,ID.4 82kWh,2022,89803,Elektro,204,209991
Hyundai,i20 blue,2020,94500,Benzin,101,10800
Toyota,Hilux HiLux,2021,159680,Diesel,204,34799
Renault,Twingo LIFE,2021,25433,Benzin,65,9900
Volkswagen,Touareg 3.0,2020,124750,Diesel,231,329891
Tesla,Model Y,2022,56600,Elektro,534,339801
Toyota,C-HR Hybrid,2017,51500,Benzin,122,17989
Peugeot,2008 Allure,2008,18007,Benzin,101,169501
Opel,Grandland X,2017,70761,Benzin,131,12498
Ford,Ranger Raptor,2023,23268,Benzin,292,614901
Peugeot,2008 Allure,2008,18007,Benzin,101,169501
Mercedes-Benz,GLA 200,2014,86037,Benzin,156,16999
Volkswagen,Golf VII,2014,123850,Benzin,86,7990
Peugeot,2008 Allure,2008,18007,Benzin,101,169501
Mercedes-Benz,GLA 200,2014,86037,Benzin,156,16999
Suzuki,SX4 Streetline,2006,120400,Benzin,107,5990
Ford,Puma AHK!!!,2021,26386,Benzin,155,18990
Toyota,Verso 1.8,2017,120646,Benzin,148,14989
Audi,A3 Sportback,2023,32400,Benzin,150,299501
Volvo,XC60 VollLeder*STHZG*AHK*Kamera*4xSH*LED*Navi,2020,87207,Diesel,190,284001
Skoda,Karoq SportAlu,2020,41849,Benzin,150,21950
Volkswagen,Passat Business,2022,194741,Diesel,122,147401
Mercedes-Benz,E 200,2018,93652,Diesel,150,23740
Mazda,6 2.0,2018,159243,Benzin,165,13998
Ford,Transit Custom,2020,104724,Diesel,105,15950
BMW,X1 20,2013,179368,Diesel,184,10700
BMW,X5 xDrive,2021,137300,Benzin,286,379501
Renault,Scenic Limited,2018,50097,Benzin,116,12450
Skoda,Fabia Ambition,2022,55318,Benzin,95,139901
Volkswagen,Tiguan 1.4,2016,55968,Benzin,125,14990
Nissan,Pulsar 1.2,2016,170425,Benzin,116,7691
BMW,X1 xDrive,2017,116336,Diesel,190,19870
Opel,Corsa GS-Line,2024,26800,Benzin,101,139001
Volkswagen,T6 California,2017,185410,Diesel,150,32440
Mazda,3 FB,2021,88700,Benzin,186,199501
Volkswagen,T-Cross 1.0,2025,4508,Benzin,116,224751
Citroen,C3 Aircross,2024,17965,Benzin,110,139801
Kia,Carens 1.7,2013,169000,Diesel,136,7950
Renault,Scenic 1.5,2017,135089,Diesel,110,9980
Toyota,RAV 4,2025,7977,Benzin,218,397701
Audi,Q4 e-tron,1901,50320,Elektro,204,281901
Nissan,Qashqai Acenta,2022,37100,Benzin,140,208801
Mercedes-Benz,CLA 200,2025,11326,Benzin,163,393991
MINI,Cooper Countryman,2024,5400,Benzin,156,318901
Volkswagen,Golf Life,2023,39722,Benzin,131,196901
Audi,A3 Sportback,2022,47509,Benzin,110,228881
Opel,Astra Design,2011,139000,Benzin,116,5999
Mercedes-Benz,GLE 350,2022,78139,Diesel,320,549501
Audi,A3 S,2023,26035,Benzin,150,289301
SEAT,Leon Style,2021,30158,Benzin,150,199701
Nissan,Ariya Basis,2023,12340,Elektro,218,299901
Opel,Combo Life,2022,44603,Diesel,131,204901
Hyundai,VELOSTER Teilleder,2011,125000,Benzin,140,6500
Opel,Combo Life,2022,44603,Diesel,131,204901
Peugeot,Partner 1.6,2016,108923,Diesel,120,13160
Hyundai,i30 cw,2018,85000,Benzin,140,155901
Dacia,Dokker EXPRESS,2020,27916,Benzin,102,12900
Porsche,Cayman GT4|Approved|PZ-Historie|Navi|Tempomat|,2016,34075,Benzin,385,81800
Kia,Ceed /,2015,112869,Benzin,204,11010
Volkswagen,Tiguan 1.5,2021,65200,Benzin,150,24250
Audi,Q5 40,2022,86000,Diesel,204,35900
Volkswagen,Golf 2.0,2022,76098,Diesel,150,244201
BMW,420 i,2022,36164,Benzin,184,344041
Mercedes-Benz,GLE 350,2017,107000,Diesel,258,34900
Opel,Combo Life,2021,83527,Diesel,131,169801
Volkswagen,T-Roc 1.5,2019,66887,Benzin,150,19990
CUPRA,Tavascan AB,2025,7829,Elektro,286,399501
Nissan,Qashqai Zama,2021,7600,Benzin,158,20980
Mercedes-Benz,A 180,2022,44067,Benzin,136,229901
Mercedes-Benz,CLS 350,2016,91715,Diesel,258,28880
Jeep,Avenger 1.2,2023,27691,Benzin,101,189901
Audi,A3 45,2022,18400,Benzin,245,288901
BMW,318 318i,2004,118400,Benzin,143,5499
Audi,A3 45,2022,18400,Benzin,245,288901
Opel,Zafira B,2006,149922,Benzin,140,5900
Renault,Kangoo Rapid,2022,24158,Diesel,116,149901
Audi,SQ8 4.0,2020,183131,Diesel,435,548901
Mercedes-Benz,C 200,2014,48800,Benzin,184,21499
Fiat,Doblo Doblò,2015,66019,Benzin,95,10990
Opel,Corsa F,2023,28165,Benzin,101,14690
Renault,Megane Business,1901,55006,Benzin,140,161901
Mitsubishi,ASX Edition,2025,5999,Benzin,158,311801
Dacia,Sandero STEPWAY,2024,29942,Benzin,101,149001
Mercedes-Benz,230,1986,198000,Benzin,132,3999
Ford,Kuga ST-Line,2024,15509,Benzin,182,298801
Audi,A6 Avant,2022,48743,Diesel,245,364501
BMW,750 i,2013,221444,Benzin,449,12990
Toyota,Corolla TS,2022,65612,Benzin,197,234981
Volkswagen,Arteon 2.0,2018,104750,Diesel,150,21749
Opel,Corsa F,2021,35900,Benzin,101,144501
Volkswagen,T6 Transporter,2016,147000,Diesel,102,128001
BMW,116 1er,2015,185500,Benzin,109,8985
SEAT,Leon Comfort,2009,141400,Benzin,160,4990
Volkswagen,T6 Transporter,2016,147000,Diesel,102,128001
BMW,116 1er,2015,185500,Benzin,109,8985
Nissan,Qashqai 1.6,2014,276439,Diesel,131,7880
Volkswagen,Taigo Life,2024,17700,Benzin,150,234801
Ford,Focus ST-Line,2020,91750,Diesel,150,169501
Porsche,Cayenne S,2016,184222,Diesel,385,33450
Mercedes-Benz,GLE 350,2022,95809,Benzin,333,558901
Opel,Astra K,2021,85046,Diesel,122,11990
Skoda,Octavia Family,2013,48749,Benzin,105,10499
Hyundai,i10 Passion,2016,88325,Benzin,67,7990
Renault,Twingo 1.0,2018,68000,Benzin,69,7990
Subaru,Forester Exclusive,2013,124779,Benzin,150,13900
Fiat,500 Automatik,2017,103654,Benzin,69,8990
Kia,Niro e-Vision,2023,11744,Elektro,204,259801
Dacia,Sandero Comfort,2021,16445,Benzin,67,117451
Kia,Stonic 1.0,2025,16577,Benzin,101,198001
Audi,A6 50,2018,107600,Diesel,286,29950
Ferrari,296 GTS,2025,3400,Benzin,829,3148501
Skoda,Fabia 65PS,2023,14521,Benzin,65,139851
Mercedes-Benz,CLS 250,2013,175575,Diesel,204,12950
Skoda,Fabia 65PS,2023,14521,Benzin,65,139851
Skoda,Octavia Combi,2022,41150,Benzin,245,262501
Mercedes-Benz,GLC 300,2020,44400,Benzin,211,36900
Audi,Q7 3.0,2015,68745,Benzin,333,26060
Toyota,Corolla TS,2021,41695,Benzin,184,229701
Volkswagen,up! Automatik,2018,18000,Benzin,60,10950
Audi,Q3 Sportback,2022,77106,Diesel,150,298801
Jeep,Compass 1.3,2023,53770,Benzin,190,21850
Dacia,Duster 1.3,2022,78000,Benzin,150,16650
Skoda,Scala Extra,,0,Benzin,150,222711
Toyota,Yaris Cross,2025,10,Benzin,131,248901
Volkswagen,ID.3 Pro,2024,24790,Elektro,204,259501
Volkswagen,Arteon Elegance,2022,99999,Benzin,218,229501
Ford,Tourneo Connect,2024,10073,Benzin,114,286401
Fiat,Tipo Mild-Hybrid,2024,10,Benzin,131,199751
BMW,118 i,2024,15270,Benzin,136,258991
BMW,X6 M,2022,77389,Benzin,530,664991
Opel,Zafira Life,2020,42163,Diesel,120,259901
SEAT,Leon 1.4,2015,150523,Benzin,125,9900
Opel,Corsa D,2009,208874,Benzin,80,2499
Mercedes-Benz,GLC 300,2021,49874,Diesel,194,388001
Mercedes-Benz,E 300,2022,127976,Diesel,306,288801
Opel,Astra Edition,2021,30900,Benzin,110,139001
Audi,A5 Sportback,2019,65228,Benzin,190,31990
Volkswagen,Golf Variant,2025,8967,Diesel,116,255801
Mercedes-Benz,A 200,2025,4471,Benzin,163,329001
Ford,Puma 1.0,2021,73450,Benzin,125,14990
Ford,S-Max ST-Line,2021,52225,Diesel,190,25890
BMW,X5 xDrive40d,2010,213789,Diesel,306,14500
Volkswagen,Passat Variant,2022,108450,Diesel,200,247491
Mercedes-Benz,EQE 300,2024,12326,Elektro,245,413101
Nissan,Qashqai N-Tec,2020,40900,Benzin,159,19900
Volkswagen,Tiguan Life,2023,94814,Benzin,131,203101
Mercedes-Benz,CLS 250,2015,64726,Diesel,204,26880
Skoda,Kamiq Clever+Alufelgen+Klimaautomatik+Sitzheizung+LED+FS,2021,49965,Benzin,110,176701
Audi,A6 40,2023,72000,Diesel,204,314901
Opel,Corsa-e Corsa,,10,Elektro,156,274801
Skoda,Karoq 1.5,2020,72200,Benzin,150,199901
Audi,A6 50TDI,2020,85227,Diesel,286,379801
Skoda,Fabia Cool,2027,142900,Benzin,60,3990
Ford,Focus Titanium,2022,65089,Diesel,120,165901
Audi,Q4 e-tron,2021,50000,Elektro,204,28380
Mercedes-Benz,GLC 300,2021,118198,Diesel,306,314501
Mercedes-Benz,A 180,2021,126425,Diesel,116,188501
Mercedes-Benz,S 500,2001,70000,Benzin,306,16999
Ford,Tourneo Connect,2019,82740,Diesel,120,167911
Mercedes-Benz,CL 65,2007,45000,Benzin,612,59850
Citroen,C3 Picasso,2017,59777,Benzin,110,10855
Volkswagen,Golf VII,2016,102686,Diesel,150,14980
SEAT,Ateca 1.5,2021,64990,Benzin,150,208801
Ford,Mondeo Mondeo,2021,103315,Diesel,150,169901
Volkswagen,Tiguan Allspace,2021,79450,Diesel,150,297491
Audi,TT 45,2021,59428,Benzin,245,379901
Mercedes-Benz,Vito 116,2021,102115,Diesel,163,308901
Dacia,Spring ELECTRIC,2023,16189,Elektro,45,109001
Ford,Mondeo Turnier,2019,63500,Benzin,165,17800
Dacia,Spring Extreme,2025,23,Elektro,65,169901
Volkswagen,Sharan 2.0,2017,160267,Diesel,184,179001
Skoda,Kodiaq Style,2019,83550,Benzin,190,24890
Opel,Astra ASTRA,2016,100000,Benzin,101,7490
Audi,A4 2.0TDI,2012,187043,Diesel,177,9480
BMW,i3 120Ah,2022,48275,Elektro,170,188011
CUPRA,Terramar 1.5eTSI,2025,14332,Benzin,150,349801
Volkswagen,T6 Multivan,2017,138100,Diesel,150,30475
Mercedes-Benz,C 180,2024,19998,Benzin,170,378101
Audi,SQ7 4.0,2020,88000,Diesel,435,679501
BMW,420 d,2022,81580,Diesel,190,37390
Volkswagen,Polo Style,2024,5561,Benzin,110,213901
BMW,320 d,2020,102000,Diesel,190,264901
CUPRA,Leon Cupra,,1,Benzin,150,299951
Volkswagen,T-Cross R-Line,2026,20,Benzin,150,306891
Land,Rover Range,2020,63520,Diesel,179,32480
Honda,CR-V,2002,155000,Benzin,150,5950
Opel,Adam 1.4,2019,41595,Benzin,87,11470
Mercedes-Benz,V 250,2019,65837,Diesel,190,39500
Audi,A6 40,2022,87900,Diesel,204,378801
Peugeot,2008 Peugeot,2008,12626,Benzin,131,215951
Mercedes-Benz,E 220,2024,5541,Diesel,197,549901
Mercedes-Benz,GLA 200,2022,91000,Diesel,150,264901
Mercedes-Benz,CLS 250,2013,175575,Diesel,204,12950
Mercedes-Benz,GLA 200,2022,91000,Diesel,150,264901
Mercedes-Benz,GLA 180,2019,100263,Benzin,122,15990
Peugeot,5008 2.0,2020,97966,Diesel,179,22990
Ford,Transit Custom,2016,314154,Diesel,125,7990
Porsche,Taycan Taycan,2021,34222,Elektro,476,54900
Dacia,Duster II,2020,84700,Benzin,131,13890
SEAT,Ateca Ateca,2024,52800,Benzin,150,23890
Volkswagen,Golf GTI,2023,20210,Benzin,300,324401
MG,MG3 1.5,2031,21800,Benzin,194,169901
Mercedes-Benz,Viano 2.2,2011,225015,Diesel,163,16500
Ford,Fiesta Ford,2019,57265,Benzin,71,9950
Volkswagen,Arteon Arteon,2022,64800,Diesel,200,28890
MG,MG4 125KW,2025,5,Elektro,170,199701
Renault,Clio 5,2023,15263,Benzin,91,148901
smart,forTwo smart,2023,20000,Elektro,82,114891
Volkswagen,Tiguan Active,2023,50154,Diesel,150,289301
Volkswagen,Sharan 2.0,2016,174379,Diesel,184,157501
CUPRA,Formentor .,2021,43100,Benzin,150,239501
Audi,Q4 e-tron,2025,5800,Elektro,286,499801
Tesla,Model 3,2020,105800,Elektro,325,189901
Mercedes-Benz,CLA 200,2026,3003,Benzin,163,398401
Audi,Q3 S,2022,57670,Benzin,150,299701
Volvo,XC90 Momentum,2017,190000,Diesel,235,24900
Daihatsu,Terios Basis,2011,149548,Benzin,105,6990
Toyota,Proace Verso,2018,96290,Diesel,151,26489
Volkswagen,Golf Variant,2021,102941,Benzin,150,169201
Audi,SQ5 TDI,2021,107000,Diesel,341,389901
BMW,X1 20d,2017,140817,Diesel,190,16450
Opel,Combo Life,2021,51043,Benzin,110,169901
BMW,340 M340i,2024,18151,Benzin,374,599901
BMW,320 M,2022,40317,Benzin,184,329991
Jeep,Avenger LONGITUDE,2025,10,Elektro,155,259001
BMW,X4 xDrive,2015,235000,Diesel,258,19750
Opel,Astra K,2016,184000,Benzin,150,7990
smart,#5 Premium,2025,14990,Elektro,363,464801
Opel,Vivaro B,2018,141000,Diesel,145,19840
Opel,Grandland X,2024,24927,Diesel,131,227501
Hyundai,TUCSON 1.6,2023,88300,Benzin,150,219901
BMW,X1 xDrive,2019,134900,Diesel,190,179501
Hyundai,i40 1.6,2018,97200,Benzin,135,9990
Volkswagen,Tiguan Elegance,2023,56329,Benzin,245,268851
Kia,Sorento Platinum,2016,90390,Diesel,200,21870
Audi,Q3 S,2022,57670,Benzin,150,299701
Volvo,XC90 Momentum,2017,190000,Diesel,235,24900
Daihatsu,Terios Basis,2011,149548,Benzin,105,6990
Toyota,Proace Verso,2018,96290,Diesel,151,26489
Volkswagen,Golf Variant,2021,102941,Benzin,150,169201
Toyota,Proace City,2022,45390,Benzin,131,24489
Audi,SQ5 TDI,2021,107000,Diesel,341,389901
BMW,X1 20d,2017,140817,Diesel,190,16450
Opel,Combo Life,2021,51043,Benzin,110,169901
BMW,340 M340i,2024,18151,Benzin,374,599901
BMW,320 M,2022,40317,Benzin,184,329991
Jeep,Avenger LONGITUDE,2025,10,Elektro,155,259001
BMW,X4 xDrive,2015,235000,Diesel,258,19750
Opel,Astra K,2016,184000,Benzin,150,7990
smart,#5 Premium,2025,14990,Elektro,363,464801
Opel,Vivaro B,2018,141000,Diesel,145,19840
Opel,Grandland X,2024,24927,Diesel,131,227501
BMW,318 i,2007,242500,Benzin,129,3000
Opel,Grandland X,2024,24927,Diesel,131,227501
Mercedes-Benz,E 250,2013,122399,Benzin,211,18700
Hyundai,TUCSON 1.6,2023,88300,Benzin,150,219901
Skoda,Enyaq 85,2025,13695,Elektro,286,37991
BMW,X1 xDrive,2019,134900,Diesel,190,179501
Mercedes-Benz,CLA 250,2021,59998,Benzin,218,239801
smart,forTwo EQ,2022,3999,Elektro,82,103501
Audi,Q4 e-tron,2024,43867,Elektro,204,337501
Mercedes-Benz,C 200,2022,68000,Benzin,184,326901
Opel,Crossland 1.2,2023,24102,Benzin,131,179001
Hyundai,IONIQ IONIQ,2021,9065,Benzin,141,199901
Mercedes-Benz,CLE 450,2024,6605,Benzin,381,689001
Lexus,NX 300h,2018,49350,Benzin,197,28490
Kia,Sportage 1.6,2022,40633,Benzin,265,259791
Volkswagen,Touran Goal,2006,158900,Diesel,105,6990
Peugeot,Rifter Kombi,2023,58568,Diesel,131,199801
Volkswagen,Touran 1.2,2015,157908,Benzin,105,9940
BMW,M5 Competition,2022,34240,Benzin,625,879991
Kia,XCeed Xceed,2025,13743,Benzin,140,229301
Ford,Tourneo Courier,2015,102108,Benzin,101,7999
BMW,M5 Competition,2022,34240,Benzin,625,879991
Kia,XCeed Xceed,2025,13743,Benzin,140,229301
Fiat,Panda Mild,2024,4500,Benzin,69,129801
Hyundai,TUCSON 1.6,2021,50042,Benzin,150,199991
Volkswagen,Tiguan 1.5TSI,2024,57306,Benzin,150,267451
smart,"forTwo CABRIO,SERVO,SITZH,NAVI,LICHTAUTO",2012,71766,Benzin,71,6999
Suzuki,Jimny Comfort,2021,44870,Benzin,102,274001
Fiat,Qubo 1.4,2019,26037,Benzin,77,12200
Mercedes-Benz,A 180,2022,67228,Benzin,136,219501
Renault,Symbioz E-Tech,2025,28204,Benzin,143,238801
Mercedes-Benz,C 250,2015,86654,Diesel,204,18660
Alfa,Romeo Giulia,2017,51430,Benzin,280,26990
Nissan,Qashqai Qashqai,2016,129000,Benzin,116,10990
Volkswagen,T-Roc R-Line,2025,13000,Benzin,150,359501
Opel,Astra ST*1.2*Klimaut.*Navi*SHZ*Kamera*,2024,43058,Benzin,131,199901
Audi,A7 50,2023,47934,Diesel,286,49900
Fiat,Ducato Kastenwagen,2024,26330,Diesel,140,229001
Skoda,Yeti 2.0,2014,206335,Diesel,140,7481
Volkswagen,Tiguan Active,2023,86792,Benzin,245,259301
BMW,116 5-TÜRIG,2014,159109,Benzin,136,7490
Fiat,Panda Cross,2023,15346,Benzin,71,13990
Porsche,911 Carrera,2025,4200,Benzin,394,1358901
Toyota,Aygo 1.0,2020,111396,Benzin,72,73801
Volkswagen,Golf VII,2016,103000,Benzin,150,11490
Volvo,V60 B4,2022,70750,Diesel,197,264001
Lexus,NX 300,2019,178000,Benzin,155,19999
BMW,520 d,2025,24775,Diesel,197,524901
Subaru,XV 2.0ie,2022,44800,Benzin,150,239501
Mercedes-Benz,A 180,2021,16226,Benzin,136,24990
Mercedes-Benz,Vito 116,2019,116793,Diesel,163,28990
BMW,220 d,2014,149998,Diesel,184,14885
Mercedes-Benz,C 180,2022,39121,Benzin,190,282501
Audi,Q4 e-tron,2025,7600,Elektro,340,490691
Mercedes-Benz,A 250,2022,37783,Benzin,160,269001
Mercedes-Benz,C 300,2009,129200,Benzin,231,11850
Audi,A4 Avant,2023,79205,Diesel,163,249801
Ford,"Kuga 1,5",2017,83000,Benzin,150,13480
Mercedes-Benz,S 63,2024,21165,Benzin,612,1728901
Toyota,"Corolla 2,0",2022,27000,Benzin,197,27900
Opel,Corsa F,2023,24750,Benzin,101,146001
Mercedes-Benz,S 63,2024,21165,Benzin,612,1728901
Toyota,"Corolla 2,0",2022,27000,Benzin,197,27900
Dacia,Bigster Hybrid,2025,5780,Benzin,109,287901
Volkswagen,Tiguan Cup,2014,133500,Benzin,160,11480
Volkswagen,Passat Variant,2022,37950,Benzin,156,269401
Leapmotor,T03 LFP,,0,Elektro,95,198801
Volvo,XC60 B4,2020,75022,Diesel,197,299001
Porsche,Macan S-Pano/ACC/LED/RS/360/PASM/Sport-AGA,2020,36391,Benzin,354,56990
Volkswagen,T4 Caravelle,2000,136000,Diesel,102,9490
BMW,320 d,2022,128850,Diesel,190,295001
Volkswagen,Golf R,2016,84500,Benzin,300,21999
Skoda,Kamiq 1.0,2022,27500,Benzin,110,204991
BMW,540 Touring,2022,74880,Diesel,340,487491
Toyota,RAV 4,2020,86799,Benzin,178,26990
Hyundai,TUCSON Select,2022,69000,Diesel,136,236901
Mercedes-Benz,AMG GT,2020,45000,Benzin,575,89900
Ford,Focus Turnier,2015,96000,Benzin,125,8690
Jeep,Avenger LONGITUDE,2025,10,Elektro,155,249801
Opel,Meriva Edition/,2007,168000,Benzin,105,2499
Mazda,CX-5 Exclusive-Line,2016,129000,Diesel,150,11900
Jeep,Avenger LONGITUDE,2025,10,Elektro,155,249801
Opel,Meriva Edition/,2007,168000,Benzin,105,2499
Toyota,Yaris 15,2025,2511,Benzin,131,292791
Hyundai,KONA INTRO,2021,41650,Benzin,120,16890
Jeep,Renegade PHEV,2021,86500,Benzin,190,15990
Mercedes-Benz,C 400,2019,85500,Benzin,333,33249
Volkswagen,T-Cross T-Cross,2021,77500,Benzin,150,17990
Audi,A4 Av,2023,19138,Benzin,204,349501
Ford,Puma 1.0,2021,62950,Benzin,125,13975
Alpina,XB7 SWITCH-TRONIC,2024,3900,Benzin,621,1849001
Land,Rover Range,2019,79570,Diesel,241,28990
Citroen,Berlingo MPV,,10,Diesel,102,229801
Nissan,NV300 Kombi,2021,90339,Diesel,145,222221
BMW,540 i,2021,76200,Benzin,333,43900
Audi,A6 3.0,2018,367564,Diesel,326,199501
Audi,A8 50,2023,88120,Diesel,286,529051
Hyundai,i10 1.0,2024,250,Benzin,67,139901
BMW,M3 F80,2015,68830,Benzin,431,54400
Mercedes-Benz,CLA 200,2025,7600,Benzin,163,359001
Audi,A6 Lim.,2018,157400,Diesel,218,20990
Mercedes-Benz,CLA 200,2025,7600,Benzin,163,359001
Volkswagen,T-Cross 1.0,2025,26090,Benzin,116,229401
Opel,Corsa 1.2,2025,8808,Benzin,101,182501
Land,Rover Discovery,2022,79500,Diesel,163,248001
Mazda,CX-60 e-Skyactiv,2023,12845,Benzin,328,37890
Dacia,Sandero Expression,2023,58230,Benzin,91,126801
BMW,X1 xDrive25e,2021,62170,Benzin,245,219701
Volkswagen,Taigo 1.0,2022,85312,Benzin,110,175751
BMW,M8 Competition,2023,71065,Benzin,625,764901
Audi,A6 Avant,2020,175000,Diesel,204,235991
Audi,A1 1.4,2016,85647,Benzin,150,14150
Volkswagen,T-Cross ACTIVE,2022,16498,Benzin,150,23440
Volkswagen,T6 Multivan,2016,144000,Diesel,150,28975
Audi,Q4 e-tron,2024,8100,Elektro,170,37890
Jeep,Gladiator Overland,2021,125000,Diesel,264,379901
Volkswagen,Arteon Arteon,2022,40906,Benzin,218,278801
Peugeot,e-208 Elektro,2025,5518,Elektro,136,209501
Mercedes-Benz,C 180,2020,69000,Benzin,156,23500
Mazda,3 2.0,2018,116000,Benzin,120,13191
