brand,model,year,mileage,fuel,transmission,power_ps,price
Opel,Corsa Edition,2022,32900,Benzin,,75,109501
Jaecoo,J7 EXCLUSIVE,2025,50,Benzin,,147,309501
Skoda,Kamiq Essence,2024,14000,Benzin,,95,174801
Audi,A3 Sportback,2017,134700,Benzin,,116,11990
Audi,Q2 30,2021,49835,Benzin,,110,174501
Volkswagen,Golf VI,2012,147450,Diesel,,170,9900
Opel,Astra 120,2019,20746,Benzin,,105,11900
Mitsubishi,Lancer 35,2012,193000,Benzin,,117,5900
Hyundai,i30 1.4,2017,53590,Benzin,,140,13790
Hyundai,i40 1.6,2018,97200,Benzin,,135,9990
Citroen,E-C4 Electric,2021,59780,Elektro,,136,13900
Hyundai,i20 Select,2019,51561,Benzin,,101,9999
Skoda,Fabia 1.0,2019,86802,Benzin,,75,8910
Kia,Sportage 2.0CRDI,2011,115500,Diesel,,136,6410
Ford,EcoSport 1.0,2019,48831,Benzin,,125,11960
Mitsubishi,Space Star,2014,67940,Benzin,,71,4990
Volkswagen,Scirocco 2.0,2011,163240,Diesel,,140,7400
Daihatsu,Sirion 1.3,2010,184100,Benzin,,91,1900
Mercedes-Benz,E 400,2017,88022,Benzin,,333,26900
Volkswagen,Passat Variant,2016,202000,Diesel,,120,8400
Toyota,Yaris 1.0,2023,15994,Benzin,,72,13770
Volkswagen,T-Cross Life*PDC*Telefon*Klima*Alu*Sitzhzg.,2019,97000,Benzin,,95,13495
Opel,Corsa CORSA,2019,37402,Benzin,,131,13990
Hyundai,TUCSON Tucson,2019,84990,Benzin,,132,14990
Dacia,Sandero TCe,2024,12053,Benzin,,101,14990
Volkswagen,ID.4 Pure,2023,10400,Elektro,,170,238801
Opel,"Vectra 1,9",2007,227500,Diesel,,150,1950
Peugeot,2008 Allure,2008,81330,Diesel,,92,9450
BMW,525 xd,2010,282000,Diesel,,197,5590
Subaru,Forester 2.0X,2010,272126,Benzin,,150,3980
Nissan,X-Trail 2.0,2017,126000,Diesel,,177,13790
Kia,PV5 Passenger,,10,Elektro,,121,328501
smart,forFour Basis,2004,227800,Benzin,,95,1100
Volkswagen,Golf Plus,2010,149000,Benzin,,105,2990
Ford,Fiesta 1.4,2012,45020,Benzin,,97,7990
Opel,Zafira C,2017,99330,Benzin,,120,9990
Audi,Q4 e-tron,2023,21451,Elektro,,170,23949
Mercedes-Benz,C 200,2008,193658,Benzin,,184,5990
Mitsubishi,ASX Edition,2019,43019,Benzin,,117,13780
BMW,330 d,2016,144100,Diesel,,258,18990
